a,b,c,density,early_density,max_streak,total_primes,first_primes
2,-200,4801,0.476,0.68,17,2380,"[[1, 4603], [2, 4409], [3, 4219], [5, 3851], [6, 3673], [7, 3499], [8, 3329], [9, 3163], [10, 3001], [11, 2843]]"
1,2089,2897,0.476,0.7066666666666667,10,2380,"[[1, 4987], [2, 7079], [3, 9173], [5, 13367], [6, 15467], [7, 17569], [10, 23887], [11, 25997], [12, 28109], [13, 30223]]"
1,2091,4987,0.476,0.7066666666666667,10,2380,"[[1, 7079], [2, 9173], [4, 13367], [5, 15467], [6, 17569], [9, 23887], [10, 25997], [11, 28109], [12, 30223], [14, 34457]]"
1,889,2081,0.476,0.72,14,2380,"[[1, 2971], [2, 3863], [4, 5653], [5, 6551], [6, 7451], [7, 8353], [8, 9257], [9, 10163], [10, 11071], [11, 11981]]"
2,-196,4603,0.4758,0.68,17,2379,"[[1, 4409], [2, 4219], [4, 3851], [5, 3673], [6, 3499], [7, 3329], [8, 3163], [9, 3001], [10, 2843], [11, 2689]]"
3,1689,617,0.4756,0.7466666666666667,16,2378,"[[1, 2309], [2, 4007], [3, 5711], [5, 9137], [6, 10859], [8, 14321], [9, 16061], [10, 17807], [11, 19559], [12, 21317]]"
2,-180,3851,0.4754,0.68,17,2377,"[[1, 3673], [2, 3499], [3, 3329], [4, 3163], [5, 3001], [6, 2843], [7, 2689], [8, 2539], [9, 2393], [10, 2251]]"
2,1718,349,0.4754,0.7466666666666667,13,2377,"[[1, 2069], [2, 3793], [3, 5521], [4, 7253], [6, 10729], [7, 12473], [8, 14221], [9, 15973], [10, 17729], [11, 19489]]"
3,1695,2309,0.4754,0.7466666666666667,16,2377,"[[1, 4007], [2, 5711], [4, 9137], [5, 10859], [7, 14321], [8, 16061], [9, 17807], [10, 19559], [11, 21317], [12, 23081]]"
1,1303,293,0.4754,0.7866666666666666,14,2377,"[[1, 1597], [2, 2903], [3, 4211], [4, 5521], [5, 6833], [6, 8147], [7, 9463], [8, 10781], [9, 12101], [11, 14747]]"
1,1305,1597,0.4752,0.7866666666666666,14,2376,"[[1, 2903], [2, 4211], [3, 5521], [4, 6833], [5, 8147], [6, 9463], [7, 10781], [8, 12101], [10, 14747], [11, 16073]]"
2,1726,3793,0.4752,0.7333333333333333,13,2376,"[[1, 5521], [2, 7253], [4, 10729], [5, 12473], [6, 14221], [7, 15973], [8, 17729], [9, 19489], [11, 23021], [12, 24793]]"
2,-176,3673,0.4752,0.68,17,2376,"[[1, 3499], [2, 3329], [3, 3163], [4, 3001], [5, 2843], [6, 2689], [7, 2539], [8, 2393], [9, 2251], [10, 2113]]"
2,1722,2069,0.4752,0.7466666666666667,13,2376,"[[1, 3793], [2, 5521], [3, 7253], [5, 10729], [6, 12473], [7, 14221], [8, 15973], [9, 17729], [10, 19489], [12, 23021]]"
1,1307,2903,0.4752,0.7733333333333333,14,2376,"[[1, 4211], [2, 5521], [3, 6833], [4, 8147], [5, 9463], [6, 10781], [7, 12101], [9, 14747], [10, 16073], [11, 17401]]"
2,-172,3499,0.475,0.6666666666666666,17,2375,"[[1, 3329], [2, 3163], [3, 3001], [4, 2843], [5, 2689], [6, 2539], [7, 2393], [8, 2251], [9, 2113], [10, 1979]]"
1,1309,4211,0.475,0.7733333333333333,14,2375,"[[1, 5521], [2, 6833], [3, 8147], [4, 9463], [5, 10781], [6, 12101], [8, 14747], [9, 16073], [10, 17401], [11, 18731]]"
3,1845,859,0.475,0.7466666666666667,10,2375,"[[1, 2707], [2, 4561], [3, 6421], [4, 8287], [5, 10159], [6, 12037], [7, 13921], [9, 17707], [10, 19609], [11, 21517]]"
2,-168,3329,0.4748,0.6666666666666666,17,2374,"[[1, 3163], [2, 3001], [3, 2843], [4, 2689], [5, 2539], [6, 2393], [7, 2251], [8, 2113], [9, 1979], [11, 1723]]"
3,1851,2707,0.4748,0.7466666666666667,10,2374,"[[1, 4561], [2, 6421], [3, 8287], [4, 10159], [5, 12037], [6, 13921], [8, 17707], [9, 19609], [10, 21517], [11, 23431]]"
1,825,223,0.4748,0.7866666666666666,12,2374,"[[1, 1049], [2, 1877], [3, 2707], [4, 3539], [5, 4373], [6, 5209], [7, 6047], [10, 8573], [11, 9419], [12, 10267]]"
3,1857,4561,0.4748,0.7466666666666667,10,2374,"[[1, 6421], [2, 8287], [3, 10159], [4, 12037], [5, 13921], [7, 17707], [8, 19609], [9, 21517], [10, 23431], [12, 27277]]"
2,-160,3001,0.4746,0.6666666666666666,17,2373,"[[1, 2843], [2, 2689], [3, 2539], [4, 2393], [5, 2251], [6, 2113], [7, 1979], [9, 1723], [10, 1601], [11, 1483]]"
2,-164,3163,0.4746,0.6666666666666666,17,2373,"[[1, 3001], [2, 2843], [3, 2689], [4, 2539], [5, 2393], [6, 2251], [7, 2113], [8, 1979], [10, 1723], [11, 1601]]"
2,-156,2843,0.4746,0.6666666666666666,17,2373,"[[1, 2689], [2, 2539], [3, 2393], [4, 2251], [5, 2113], [6, 1979], [8, 1723], [9, 1601], [10, 1483], [12, 1259]]"
1,827,1049,0.4746,0.7866666666666666,12,2373,"[[1, 1877], [2, 2707], [3, 3539], [4, 4373], [5, 5209], [6, 6047], [9, 8573], [10, 9419], [11, 10267], [12, 11117]]"
1,829,1877,0.4744,0.7866666666666666,12,2372,"[[1, 2707], [2, 3539], [3, 4373], [4, 5209], [5, 6047], [8, 8573], [9, 9419], [10, 10267], [11, 11117], [12, 11969]]"
1,831,2707,0.4744,0.7866666666666666,12,2372,"[[1, 3539], [2, 4373], [3, 5209], [4, 6047], [7, 8573], [8, 9419], [9, 10267], [10, 11117], [11, 11969], [12, 12823]]"
2,-152,2689,0.4744,0.6666666666666666,17,2372,"[[1, 2539], [2, 2393], [3, 2251], [4, 2113], [5, 1979], [7, 1723], [8, 1601], [9, 1483], [11, 1259], [12, 1153]]"
2,-148,2539,0.4742,0.6666666666666666,17,2371,"[[1, 2393], [2, 2251], [3, 2113], [4, 1979], [6, 1723], [7, 1601], [8, 1483], [10, 1259], [11, 1153], [12, 1051]]"
1,1701,1087,0.4742,0.6666666666666666,12,2371,"[[1, 2789], [2, 4493], [3, 6199], [4, 7907], [6, 11329], [7, 13043], [8, 14759], [9, 16477], [11, 19919], [13, 23369]]"
1,833,3539,0.4742,0.7733333333333333,12,2371,"[[1, 4373], [2, 5209], [3, 6047], [6, 8573], [7, 9419], [8, 10267], [9, 11117], [10, 11969], [11, 12823], [12, 13679]]"
1,835,4373,0.4742,0.7733333333333333,12,2371,"[[1, 5209], [2, 6047], [5, 8573], [6, 9419], [7, 10267], [8, 11117], [9, 11969], [10, 12823], [11, 13679], [12, 14537]]"
2,-144,2393,0.474,0.6666666666666666,17,2370,"[[1, 2251], [2, 2113], [3, 1979], [5, 1723], [6, 1601], [7, 1483], [9, 1259], [10, 1153], [11, 1051], [12, 953]]"
